Title,Employer,Location,Keywords,Link
IT Operationeel Beheerder,Argenta,Antwerpen,Agile, SAFe, DevOps,https://www.ictjob.be/nl/vacature/argenta-it-operationeel-beheerder/4-231253
Senior OpenShift Engineer,Isabel Group,Brussel,DevOps & SRE, IT Infrastructure,https://www.ictjob.be/nl/vacature/isabel-group-senior-openshift-engineer/2-260873
Senior Site Reliability Engineer,Isabel Group,Brussel,TerraForm, OpenShift, Helm, Jenkins,https://www.ictjob.be/nl/vacature/isabel-group-senior-site-reliability-engineer/1-277191
Site Reliability Engineer,Isabel Group,Brussel,SRE, DevOps,https://www.ictjob.be/nl/vacature/isabel-group-site-reliability-engineer/1-277165
DevOps Lead Engineer,MATERIALISE,Leuven,AWS; Kubernetes; CI/CD; Leadership,https://www.ictjob.be/nl/vacature/devops-lead-engineer/1-277013
